name,name1,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,lat,lon,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Coastal Asian Pacific Islander Family,Mental Health Center,14112 South Kingsley Drive,,Gardena,CA,90249,,Los Angeles,310-217-7312,,,,http://dmh.lacounty.gov/,33.9029285,-118.3039273,MH,1,,,,,,1,,,1,,1,1,,1,1,1,1,,1,1,,,,,,1,,,,1,,,1,1,1,,,,1,,,,,1,,,,1,,1,1,,1,1,,,,,1,1,,1,1,1,,1,,1,1,,,1,,1,1,1,,1,,,,,,,1,,1,1,1,,,1,1,1,1,1,,,,,,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,1,1,,,1,1,,,,1,1,,,,,
Hathaway/Sycamores Child/Family Servs,El Nido Residential,2933 North El Nido Drive,,Altadena,CA,91001,,Los Angeles,626-243-9043,Intakes,844-222-2377,626-395-7100,http://hathaway-sycamores.org,34.1960124,-118.1658889,MH,1,,1,,,,,,,1,1,1,1,,1,1,1,,,1,,1,,,1,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridges to Recovery,,10201 Charing Cross Road,,Los Angeles,CA,90024,,Los Angeles,310-275-4620,,,,http://www.bridgestorecovery.com,34.079219,-118.4305523,MH,1,,,1,,,,,,1,1,1,1,1,,1,1,1,,1,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,1,,,1,,1,1,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton Family Mental Health Services,,921 East Compton Boulevard,1st Floor,Compton,CA,90221,,Los Angeles,310-668-6800,,,,http://dmh.lacounty.gov,33.8963309,-118.2130965,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,1,,,,1,1,1,,,,,,,,1,1,,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,1,1,,,,,,1,1,1,,,,,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience Treatment Center,,10780 Santa Monica Boulevard,Suite 400,Los Angeles,CA,90025,7616,Los Angeles,800-693-9100,,,,http://resiliencetreatment.com,34.050292,-118.4339714,MH,1,,,,,1,,,,1,1,1,1,1,,,,,,1,,1,,,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,,,,,,1,1,1,,1,1,,,,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Mood and Anxiety Program,Downey,9844 Pangborn Avenue,,Downey,CA,90240,3534,Los Angeles,866-457-5205,,,,http://discoverymood.com/locations/downey/,33.9446129,-118.1026357,MH,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Beach Treatment Center,,8929 South Sepulveda Boulevard,Suite 200,Los Angeles,CA,90045,3643,Los Angeles,833-527-3422,,,,http://www.siliconbeachtx.com,33.9549428,-118.3965314,MH,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,1,1,,,,,1,1,,,,1,,,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,1,1,,,,1,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Edelman Westside Mental Health Ctr,,11080 West Olympic Boulevard,,Los Angeles,CA,90064,,Los Angeles,310-966-6500,Intake,310-966-6511,,http://,34.0401449,-118.4374396,MH,1,,,,,,1,,,1,,1,1,1,,1,1,,,1,,1,,,,,1,,,,1,,,1,1,1,1,,,1,,,,,1,,,,1,1,,,1,1,1,,,,,,1,,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,,1,1,1,1,,1,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,,,,,1,1,1,,,,,,,,1,,,,1,,,,,,1,,,1,,1,,,,,
Westside Treatment,,11150 West Olympic Boulevard,Suite 760,Los Angeles,CA,90064,,Los Angeles,888-995-7687,,,,http://www.westsidetreatment.com,34.039169,-118.4388699,MH,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,1,,1,,1,,1,1,1,,,,1,,1,1,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview Treatment Programs,Outpatient Center,1334 Westwood Boulevard,,Los Angeles,CA,90024,,Los Angeles,800-573-0770,,,,http://www.clearviewtreatment.com,34.05639,-118.441993,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Resnick Neuropsychiatric Hospital at,UCLA,150 Westwood Plaza,,Los Angeles,CA,90095,,Los Angeles,310-825-0511,Intake,310-825-9989,,http://www.uclahealth.org/resnick/,34.0727933,-118.4447896,MH,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,1,1,,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,,,,,1,1,,,,,,,,,,,,1,,,,1,,,1,,,,,1,1,,1,1,,1,1,1,1,1,,,,,,1,1,1,1,,,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Clinics,Child and Tay FSP and CCSP Programs,11731 Telegraph Road,Suite G,Santa Fe Springs,CA,90670,,Los Angeles,562-942-8256,Intake,877-722-2737,,http://,33.9470957,-118.0832347,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,,1,1,,,1,,,,1,1,,,,,,,1,1,1,1,1,,,,,,,1,1,1,,1,,1,,,1,1,,1,1,,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,,,1,,,,,1,1,,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT Intensive Outpatient Programs,,4551 Glencoe Avenue,Suite 255,Marina del Rey,CA,90292,,Los Angeles,310-572-7000,,,,http://www.lifeadjustmentteam.com,33.9835135,-118.4336071,MH,1,,,,,,1,,,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe Springs VA Clinic,,10330 Pioneer Boulevard,,Santa Fe Springs,CA,90670,,Los Angeles,562-347-2200,,,,http://www.longbeach.va.gov/locations/Whittier_Santa_Fe_Springs_Clinic.asp,33.9424757,-118.0813118,MH,1,,,,,,,,,1,,1,1,,1,1,1,1,,1,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,1,,1,1,,,,1,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,,1303 West Walnut Parkway,,Compton,CA,90220,5804,Los Angeles,310-868-5379 x170,Intake,310-868-5379 x237,,http://www.starsinc.com/los-angeles-county/,33.8777089,-118.2441767,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,,,1,1,1,1,1,1,,,,1,,,1,1,1,,,,,,,,,1,1,,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Mood and Anxiety Program,Whittier,11911 Washington Boulevard,,Whittier,CA,90606,2607,Los Angeles,866-457-5205,,,,http://discoverymood.com/locations/whittier/,33.9692961,-118.0578284,MH,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Greater LA Healthcare System,West Los Angeles Healthcare Center,11301 Wilshire Boulevard,,Los Angeles,CA,90073,,Los Angeles,310-478-3711,,,,http://www.losangeles.va.gov,34.0546036,-118.4547279,MH,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,,,,,,1,1,1,,,1,,,,,,,,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,1,1,,1,,1,1,,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Whole Child,Beverly Office,12225 Beverly Boulevard,,Whittier,CA,90601,,Los Angeles,562-236-4695,Intake,562-692-0383,,http://www.thewholechild.org,33.9884484,-118.0462818,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview Womens Center,,2474 Glyndon Avenue,,Venice,CA,90291,,Los Angeles,800-573-0770,,,,http://www.clearviewwomenscenter.com/,33.994165,-118.447554,MH,1,,,1,,,,,,1,1,1,1,1,1,1,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,The TAY Hot Spot,649 East Albertoni Street,Suite 100,Carson,CA,90746,,Los Angeles,310-436-9300,Intake,,888-535-3288 x151,http://www.starsinc.com/star-view-community-services/tay-hot-spot/,33.8724933,-118.264311,MH,1,,,,1,,,,,1,1,1,1,,1,,1,,,,,1,,,1,,,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,,,1,,,,,,,1,,1,1,,,1,,1,,,1,1,1,1,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Child,Mental Health and House,12417 Philadelphia Street,,Whittier,CA,90601,,Los Angeles,562-692-0383,,,,http://www.thewholechild.org,33.9798181,-118.0441169,MH,1,,,,,,1,,,1,1,,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayfront Youth and Family Services,,16444 Paramount Boulevard,Suite 203,Paramount,CA,90723,,Los Angeles,562-788-7252,,,,http://www.bayfrontyfs.org,33.8848647,-118.1597186,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,1,,,,1,1,,1,1,1,,1,,1,,,1,1,,1,,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,
Casitas Esperanza,Bridges,11927 Elliott Avenue,,El Monte,CA,91732,,Los Angeles,626-350-5304 x526,Intakes,626-350-5304 x523,626-350-5304 x510,http://www.bridgesrehab.org,34.0580976,-118.0259091,MH,1,,,1,,,,,,1,,,,,,,1,,,1,1,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,1,,,,,,,1,,1,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,1,,,1,1,,,,1,,,,,,,,1,1,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guidance Center,The Compton/Lynwood Clinic,901 West Victoria Street,Suites F and G,Compton,CA,90220,5807,Los Angeles,310-669-9510,,,,http://www.tgclb.org/,33.86779,-118.239012,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,,,,,,1,,,,,,1,1,,1,,1,,,,,,,,,1,,1,,,,,,,1,1,,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,,,1,,,,1,1,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Group,,13130 Burbank Boulevard,,Van Nuys,CA,91401,6037,Los Angeles,818-781-0360,Intake,818-267-2753,,http://www.thehelpgroup.org,34.1718143,-118.4192274,MH,1,,,,,,,,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,1,,1,1,,,1,,1,,,1,1,,,,,,,1,,,1,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,1,,1,,1,1,,,,,,
Evolve Treatment Centers,Bel Air/Brentwood,820 Moraga Drive,,Los Angeles,CA,90049,,Los Angeles,800-859-9052,,,,http://evolvetreatment.com/locations/bel-air-brentwood/?utm_source=SAMHSA,34.0781333,-118.4685677,MH,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,1,,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia Mental Health Center,,330 East Live Oak Avenue,,Arcadia,CA,91006,5617,Los Angeles,626-254-1400,,,,http://,34.1083648,-118.0219294,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,,,1,,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,1,,1,,,1,1,,,1,1,,1,1,,,,,,1,1,1,1,,,1,1,,1,1,1,,,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Jewish Family Service of Los Angeles,,12821 Victory Boulevard,,North Hollywood,CA,91606,,Los Angeles,818-432-5025,,,,http://www.jfsla.org,34.186938,-118.41243,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,1,,,,,,,1,1,1,1,1,,1,,,,1,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
Insight Treatment Programs ,,115 Main Street,,El Segundo,CA,90245,,Los Angeles,800-599-8820,Intake,,818-501-3512,http://www.insighttreatment.com,33.917064,-118.416133,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,1,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Service of Santa Monica,,1533 Euclid Street,,Santa Monica,CA,90404,,Los Angeles,310-451-9747,,,,http://www.vistadelmar.org/,34.021422,-118.4840013,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,1,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,,,1,,1,1,1,,1,,1,1,,1,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Inc,Clear Recovery Center,18123 Prairie Avenue,,Torrance,CA,90504,,Los Angeles,877-779-1985,,,,http://www.clearrecoverycenter.com,33.8662157,-118.3438179,MH,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,,,,1,1,1,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counseling4Kids,,20101 Hamilton Avenue,Suite 160,Torrance,CA,90502,,Los Angeles,310-817-2177,,,,http://www.counseling4kids.org,33.8482792,-118.2876517,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,1,1,1,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,1,,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,
Childrens Bureau of Southern CA,Carson,460 East Carson Plaza Drive,Suite 102,Carson,CA,90746,,Los Angeles,310-523-9500 x202,Intake,310-523-9500,,http://www.all4kids.org,33.8458711,-118.266869,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarzana Treatment Centers Inc,,5190 Atlantic Avenue,,Long Beach,CA,90805,,Los Angeles,818-996-1051,,,,http://www.tarzanatc.org,33.8508284,-118.1838961,MH,1,,,,,,,,1,,1,1,1,,,1,,1,,,,1,,,,1,1,,,,,,,1,1,1,,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,,1,,,,,1,,,,,,1,1,,,,1,1,1,,,,,,1,,,1,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern CA Hospital at Van Nuys,Psychiatric Hospital,14433 Emelita Street,,Van Nuys,CA,91401,,Los Angeles,818-787-1511,Intake,800-565-0558,,http://sch-vannuys.com,34.1769578,-118.4475697,MH,1,1,,,,,,,,1,1,1,1,,,,,1,,,,1,,1,,,1,,,,,,,1,1,1,,1,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,1,,1,1,1,,,,1,,,1,1,1,,1,,,,1,,1,,1,1,,1,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Inc,Clear Recovery Center ,515 North Sepulveda Boulevard,Suite B,Manhattan Beach,CA,90266,,Los Angeles,877-799-1985,,,,http://www.clearrecoverycenter.com,33.8824287,-118.3964532,MH,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,,,,1,1,1,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggleston Youth Centers Inc,,13001 Ramona Boulevard,Suite E,Baldwin Park,CA,91706,,Los Angeles,626-214-9016,Intake,323-299-9554,,http://www.egglestonyouthcenter.org,34.0802044,-117.9897876,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,,,,1,1,1,1,1,,,,,1,1,1,,,1,,1,,,,1,,1,1,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,1,,,1,,1,,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Resource Center,Baldwin Park,13001 Ramona Boulevard,Suite A,Baldwin Park,CA,91706,,Los Angeles,626-373-2900,Intake,323-274-3075,,http://www.hillsides.org,34.0802044,-117.9897876,MH,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,1,,1,1,1,,1,,1,,,1,1,,,1,,,,,,,1,,,1,1,1,1,,1,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Pacific Counseling and,Treatment Center,11050 Artesia Boulevard,Suite  F,Cerritos,CA,90703,,Los Angeles,562-860-8838,,,,http://www.apctc.org,33.872528,-118.097898,MH,1,,,,,,1,,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,1,1,,,,1,1,,,1,1,,,,1,,,,,1,1,,,,,,1,,1,1,1,,1,,1,,,,1,,,,,,1,1,,,,,,1,,,,,,,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
Rio Hondo Mental Health Center,,17707 Studebaker Road,,Cerritos,CA,90703,,Los Angeles,562-402-0688,,,,http://dmh.lacounty.gov/,33.8702156,-118.0995573,MH,1,,,,,,1,,,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,1,,,1,1,1,1,,,1,,,,1,1,,,,1,1,,,1,1,1,1,,,,,1,,1,,1,,1,,1,,,1,1,,1,,,,1,1,,1,,,,1,1,1,1,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,1,,,,,,
Star View Community Services,,370 South Crenshaw Boulevard,Suite E-100,Torrance,CA,90503,1728,Los Angeles,310-787-1500,,,,http://www.starsinc.com/los-angeles-county/,33.845529,-118.3276568,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,1,1,1,,,,,,,,,1,1,1,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care Center,,2335 Mountain Avenue,,Duarte,CA,91010,,Los Angeles,626-357-3207 x225,Intake,626-357-3207 x229,,http://,34.1227709,-117.9907026,MH,1,,,1,,,,,,1,,1,1,1,1,1,,1,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,1,1,,,1,,1,1,,1,,1,1,1,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,1,1,1,,1,,,,1,,1,,1,1,,1,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Child,,10155 Colima Road,,Whittier,CA,90603,,Los Angeles,562-692-0383,,,,http://www.thewholechild.org,33.9436117,-118.0108918,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,1,,,,,1,,,,,,,,,1,1,1,,1,,1,,1,1,1,,,1,1,,1,1,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
